local_identifier	row_number	parameter	description	method	pi
PANGAEA.875569_121	121	Divinyl chlorophyll a	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_122	122	Divinyl chlorophyll a	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_123	123	Divinyl chlorophyll a	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_124	124	Chlorophyll a	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_125	125	Chlorophyll a	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_126	126	Chlorophyll a	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_127	127	Chlorophyll a	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_128	128	Chlorophyll a	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_129	129	Chlorophyll a, total	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_130	130	Chlorophyll a, total	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_131	131	Chlorophyll a, total	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_132	132	Chlorophyll a, total	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_133	133	Chlorophyll a, total	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_134	134	Phaeophytin a	minimum value in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_135	135	Phaeophytin a	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_136	136	Phaeophytin a	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_137	137	Phaeophytin a	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_138	138	Phaeophytin a	maximum value in the selected environmental feature around the sampling date and location, sum of Phaeophytin a and Phaeophytin a-like pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_139	139	Carotene	minimum value in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_140	140	Carotene	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_141	141	Carotene	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_142	142	Carotene	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments	calculated from measurements on water samples	Guidi
PANGAEA.875569_143	143	Carotene	maximum value in the selected environmental feature around the sampling date and location, sum of alpha Carotene and beta Carotene pigments	calculated from measurements on water samples	Guidi
