sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_barcode_num	tara_station
ERS488218	SAMEA2730540	ERR4691736	ERX4612845	PRJEB4352	TARA_X000001180	TARA_010
ERS488174	SAMEA2619570	ERR4691737	ERX4612846	PRJEB4352	TARA_X000001132	TARA_010
ERS488205	SAMEA2730458	ERR4691738	ERX4612847	PRJEB4352	TARA_X000001168	TARA_010
ERS488214	SAMEA2730505	ERR4691739	ERX4612848	PRJEB4352	TARA_X000001176	TARA_010
ERS488257	SAMEA2657003	ERR1726953	ERX1796686	PRJEB4352	TARA_X000001334	TARA_011
ERS488249	SAMEA2619621	ERR1726597	ERX1796565	PRJEB4352	TARA_X000001288	TARA_011
ERS488257	SAMEA2657003	ERR1726879	ERX1796791	PRJEB4352	TARA_X000001334	TARA_011
ERS488251	SAMEA2619623	ERR1700895	ERX1771178	PRJEB4352	TARA_X000001286	TARA_011
ERS488262	SAMEA2656955	ERR1726642	ERX1796593	PRJEB4352	TARA_X000001338	TARA_011
ERS488262	SAMEA2656955	ERR1726791	ERX1796510	PRJEB4352	TARA_X000001338	TARA_011
ERS488253	SAMEA2619625	ERR599383	ERX556306	PRJEB4419	TARA_X000001316	TARA_011
ERS488267	SAMEA2730644	ERR4691762	ERX4612871	PRJEB4352	TARA_X000001343	TARA_012
ERS488272	SAMEA2730674	ERR4691761	ERX4612870	PRJEB4352	TARA_X000001347	TARA_012
ERS488288	SAMEA2731262	ERR1726870	ERX1796862	PRJEB4352	TARA_A100000005	TARA_014
ERS488306	SAMEA2619654	ERR868412	ERX948045	PRJEB4352	TARA_A100000032	TARA_016
ERS488317	SAMEA2619664	ERR868482	ERX948039	PRJEB4352	TARA_A100000035	TARA_016
ERS488329	SAMEA2731077	ERR4691740	ERX4612849	PRJEB4352	TARA_A100000134	TARA_017
ERS488324	SAMEA2731057	ERR4691741	ERX4612850	PRJEB4352	TARA_A100000130	TARA_017
ERS488345	SAMEA2657084	ERR1726748	ERX1796923	PRJEB4352	TARA_A100000594	TARA_018
ERS488338	SAMEA2619675	ERR868393	ERX948107	PRJEB4352	TARA_A100000595	TARA_018
ERS488356	SAMEA2657107	ERR1726811	ERX1796903	PRJEB4352	TARA_A100000589	TARA_018
ERS488342	SAMEA2656983	ERR1726956	ERX1796639	PRJEB4352	TARA_A100000596	TARA_018
ERS488352	SAMEA2619684	ERR868488	ERX947964	PRJEB4352	TARA_A100000604	TARA_018
ERS488339	SAMEA2619676	ERR1726555	ERX1796802	PRJEB4352	TARA_A100000598	TARA_018
ERS488353	SAMEA2619685	ERR1726585	ERX1796888	PRJEB4352	TARA_A100000602	TARA_018
ERS488358	SAMEA2657093	ERR1726753	ERX1796553	PRJEB4352	TARA_A100000600	TARA_018
ERS488356	SAMEA2657107	ERR1726965	ERX1796696	PRJEB4352	TARA_A100000589	TARA_018
ERS488354	SAMEA2619686	ERR594352	ERX552325	PRJEB4419	TARA_A100000172	TARA_018
ERS488340	SAMEA2619677	ERR594358	ERX552351	PRJEB4419	TARA_A100000171	TARA_018
ERS488346	SAMEA2619678	ERR599073	ERX556039	PRJEB1787	TARA_S200000501	TARA_018
ERS488346	SAMEA2619678	ERR599092	ERX555962	PRJEB1787	TARA_S200000501	TARA_018
ERS488330	SAMEA2619667	ERR599140	ERX556002	PRJEB1787	TARA_A100000164	TARA_018
ERS488330	SAMEA2619667	ERR598993	ERX555914	PRJEB1787	TARA_A100000164	TARA_018
ERS488373	SAMEA2619700	ERR4691744	ERX4612853	PRJEB4352	TARA_A100000823	TARA_019
ERS488378	SAMEA2731305	ERR4691747	ERX4612856	PRJEB4352	TARA_A100000810	TARA_019
ERS488374	SAMEA2619701	ERR4691745	ERX4612854	PRJEB4352	TARA_A100000825	TARA_019
ERS488385	SAMEA2731333	ERR4691746	ERX4612855	PRJEB4352	TARA_A100000817	TARA_019
ERS488391	SAMEA2656996	ERR1726660	ERX1796792	PRJEB4352	TARA_A100000750	TARA_020
ERS488420	SAMEA2657025	ERR1726786	ERX1796774	PRJEB4352	TARA_A100000759	TARA_020
ERS488412	SAMEA2619725	ERR1700896	ERX1771195	PRJEB4352	TARA_A100000761	TARA_020
ERS488410	SAMEA2619723	ERR868504	ERX948015	PRJEB4352	TARA_A100000758	TARA_020
ERS488427	SAMEA2619733	ERR4691748	ERX4612857	PRJEB4352	TARA_A100000692	TARA_021
