tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_station	latitude	longitude	depth	date_time	lat_dw	lon_dw	depth_dw	time_dw	dist_diff_km	depth_diff_m	time_diff_hr	fe_dw3d	po4_dw3d	no3_dw3d	sio2_dw3d	do2_dw3d	phytoplankton_diversity_shannon_index	phytoplankton	zooplankton	chla_dw3d	nppv_dw3d	irradiance_reflectance_waveband_3	irradiance_reflectance_waveband_7	diatom	coccolithophore	mixotrophic_dinoflagellate	picoeukaryote	picoprokaryote
TARA_A100001244	ERS488633	SAMEA2619869	ERR868401	ERX948081	PRJEB4352	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
TARA_A100001201	ERS488636	SAMEA2619872	ERR599350	ERX556304	PRJEB4419	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
TARA_A100001234	ERS488621	SAMEA2619857	ERR599134	ERX555946	PRJEB1787	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
TARA_A100001234	ERS488621	SAMEA2619857	ERR599049	ERX556035	PRJEB1787	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
TARA_N000000325	ERS488678	SAMEA2656985	ERR1726777	ERX1796811	PRJEB4352	TARA_034	18.445	39.884	5	2010-01-20	18.25	39.75	5	2010-01-21T00:00:00Z	25.916599618688206	0	1	0.00104759505484253	0.0945717990398407	10.76012134552002	0.17566344141960144	200.5457000732422	2.865919351577759	2.9876513481140137	3.6531574726104736	0.4565645754337311	6.024326353326614e-7	0.0400799810886383	0.02220063097774982	0.7240051031112671	0.6653652191162109	0.7424464225769043	0.34165918827056885	0.4205136001110077
TARA_N000000332	ERS488681	SAMEA2730647	ERR1726840	ERX1796554	PRJEB4352	TARA_034	18.445	39.884	5	2010-01-20	18.25	39.75	5	2010-01-21T00:00:00Z	25.916599618688206	0	1	0.00104759505484253	0.0945717990398407	10.76012134552002	0.17566344141960144	200.5457000732422	2.865919351577759	2.9876513481140137	3.6531574726104736	0.4565645754337311	6.024326353326614e-7	0.0400799810886383	0.02220063097774982	0.7240051031112671	0.6653652191162109	0.7424464225769043	0.34165918827056885	0.4205136001110077
TARA_N000000327	ERS488695	SAMEA2619917	ERR868463	ERX948042	PRJEB4352	TARA_034	18.445	39.884	5	2010-01-20	18.25	39.75	5	2010-01-21T00:00:00Z	25.916599618688206	0	1	0.00104759505484253	0.0945717990398407	10.76012134552002	0.17566344141960144	200.5457000732422	2.865919351577759	2.9876513481140137	3.6531574726104736	0.4565645754337311	6.024326353326614e-7	0.0400799810886383	0.02220063097774982	0.7240051031112671	0.6653652191162109	0.7424464225769043	0.34165918827056885	0.4205136001110077
TARA_Y100000004	ERS488658	SAMEA2619888	ERR594328	ERX552240	PRJEB1788	TARA_034	18.445	39.884	5	2010-01-20	18.25	39.75	5	2010-01-21T00:00:00Z	25.916599618688206	0	1	0.00104759505484253	0.0945717990398407	10.76012134552002	0.17566344141960144	200.5457000732422	2.865919351577759	2.9876513481140137	3.6531574726104736	0.4565645754337311	6.024326353326614e-7	0.0400799810886383	0.02220063097774982	0.7240051031112671	0.6653652191162109	0.7424464225769043	0.34165918827056885	0.4205136001110077
TARA_R100000005	ERS488673	SAMEA2619903	ERR594368	ERX552335	PRJEB4419	TARA_034	18.445	39.884	5	2010-01-20	18.25	39.75	5	2010-01-21T00:00:00Z	25.916599618688206	0	1	0.00104759505484253	0.0945717990398407	10.76012134552002	0.17566344141960144	200.5457000732422	2.865919351577759	2.9876513481140137	3.6531574726104736	0.4565645754337311	6.024326353326614e-7	0.0400799810886383	0.02220063097774982	0.7240051031112671	0.6653652191162109	0.7424464225769043	0.34165918827056885	0.4205136001110077
TARA_R100000005	ERS488673	SAMEA2619903	ERR594370	ERX552315	PRJEB4419	TARA_034	18.445	39.884	5	2010-01-20	18.25	39.75	5	2010-01-21T00:00:00Z	25.916599618688206	0	1	0.00104759505484253	0.0945717990398407	10.76012134552002	0.17566344141960144	200.5457000732422	2.865919351577759	2.9876513481140137	3.6531574726104736	0.4565645754337311	6.024326353326614e-7	0.0400799810886383	0.02220063097774982	0.7240051031112671	0.6653652191162109	0.7424464225769043	0.34165918827056885	0.4205136001110077
